City_ID,City,Country,Max Temp,Description,Lat,Lng,Hotel Name
258,Careiro Da Varzea,BR,79.41,overcast clouds,-3.2003,-59.8119,POUSADA DA ALDENORA
259,Amuntai,ID,80.53,moderate rain,-2.4177,115.2494,Hotel Balqis
262,Cabo San Lucas,MX,85.3,scattered clouds,22.8909,-109.9124,Hotel Tesoro Los Cabos
269,Piacabucu,BR,78.93,broken clouds,-10.4056,-36.4344,Piaçabuçu News
274,Camocim,BR,76.96,overcast clouds,-2.9022,-40.8411,Ilha Praia Hotel
275,Bambous Virieux,MU,75.45,scattered clouds,-20.3428,57.7575,Casa Tia Villa
282,Mont-Dore,NC,85.98,overcast clouds,-22.2833,166.5833,GIte
284,Omboue,GA,77.9,moderate rain,-1.5746,9.2618,Hotel Olako
289,Ciudad Bolivar,VE,84.69,overcast clouds,8.1222,-63.5497,Hotel Edi
292,San Patricio,US,75.18,clear sky,28.017,-97.5169,"Motel 6 Sinton, TX"
294,Lazaro Cardenas,MX,76.84,clear sky,17.9583,-102.2,HOTEL QUINTA ANTIGUA
298,Isla Mujeres,MX,77.16,clear sky,21.2311,-86.731,Hotel La Joya Isla Mujeres
300,Mayumba,GA,78.91,light rain,-3.432,10.6554,LIKWALE LODGE
308,Ranong,TH,75.13,overcast clouds,9.9658,98.6348,Tinidee Hotel@Ranong
313,Karratha,AU,82.99,broken clouds,-20.7377,116.8463,ibis Styles Karratha
314,Natitingou,BJ,79.56,clear sky,10.3042,1.3796,Cotonou
316,Aquin,HT,77.38,scattered clouds,18.2833,-73.4,Asheev Beach
319,Srikakulam,IN,78.91,overcast clouds,18.3,83.9,Micro Systems
320,Grand Gaube,MU,75.6,clear sky,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
321,Bima,ID,83.55,broken clouds,-8.4667,118.7167,Lambitu Hotel
323,Geraldton,AU,75.61,broken clouds,-28.7667,114.6,Broadwater Mariner Resort
324,Veraval,IN,78.21,clear sky,20.9,70.3667,Lords Inn Somnath
328,Auki,SB,83.32,overcast clouds,-8.7676,160.7034,Auki Motel
335,Los Lunas,US,80.46,overcast clouds,34.8062,-106.7334,Western Skies Inns & Suites
337,Acarau,BR,78.28,overcast clouds,-2.8856,-40.12,castelo pizzaria
338,Salalah,OM,75.29,clear sky,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
348,Saint George,US,82.99,clear sky,37.1041,-113.5841,Best Western Plus Abbey Inn
353,Waingapu,ID,82.44,overcast clouds,-9.6567,120.2641,Pondok Wisata Elim
358,Labuhan,ID,80.33,light rain,-6.8844,112.2051,DoubleFAG
360,Savannah Bight,HN,77.29,scattered clouds,16.45,-85.85,Villa on Dunbar Rock
362,Sinnamary,GF,77.65,overcast clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
372,Mangaratiba,BR,76.06,overcast clouds,-22.9597,-44.0406,Portobello Resort & Safari
373,Palu,ID,83.97,moderate rain,-0.8917,119.8707,Hotel Santika Palu
374,Lakes Entrance,AU,76.15,overcast clouds,-37.8811,147.981,The Esplanade Resort & Spa
376,Sambava,MG,75.34,overcast clouds,-14.2667,50.1667,Melrose
378,Balabac,PH,80.2,overcast clouds,7.9868,117.0645,Batalla’s Lodging House
