City_ID,City,Country,Lat,Lng,Max Temp,%Humidity,%Cloudiness,Wind Speed,Description
79,Lagoa,PT,39.05,-27.9833,58.71,84,100,11.14,overcast clouds
80,Tasiilaq,GL,65.6145,-37.6368,26.76,69,100,8.72,overcast clouds
81,Griffith,US,41.5284,-87.4237,31.14,64,0,8.05,clear sky
82,Tiksi,RU,71.6872,128.8694,0.12,93,100,3.89,overcast clouds
83,Riachao Das Neves,BR,-11.7461,-44.91,75.42,64,100,1.14,overcast clouds
84,Port Hedland,AU,-20.3167,118.5667,86.05,66,97,10.36,overcast clouds
85,Albury,AU,-36.0833,146.9167,76.32,83,40,3.44,scattered clouds
86,Marsh Harbour,BS,26.5412,-77.0636,71.22,51,0,18.12,clear sky
87,Nanortalik,GL,60.1432,-45.2371,28.31,82,16,6.64,few clouds
88,Bethel,US,41.3712,-73.414,36.48,67,100,14.97,overcast clouds
89,Bredasdorp,ZA,-34.5322,20.0403,64.92,69,100,4.03,overcast clouds
90,Ust-Omchug,RU,61.15,149.6333,5.49,87,77,8.84,broken clouds
91,Koumac,NC,-20.5667,164.2833,84.33,63,68,4.23,broken clouds
92,Cao Bang,VN,22.6667,106.25,64.45,82,65,3.27,broken clouds
93,Kastamonu,TR,41.5,33.6667,29.28,94,22,2.68,few clouds
94,Khatanga,RU,71.9667,102.5,-8.05,97,100,8.08,overcast clouds
95,Gravdal,NO,68.1214,13.5031,30.2,90,100,20.09,light snow
96,Srednekolymsk,RU,67.45,153.6833,12.11,72,19,3.89,few clouds
97,Hobyo,SO,5.3505,48.5268,79.16,66,70,11.95,broken clouds
98,Provideniya,RU,64.3833,-173.3,19.51,73,0,0.0,clear sky
99,Tokur,RU,53.1333,132.9,18.45,70,4,2.68,clear sky
100,Sao Desiderio,BR,-12.3633,-44.9733,77.95,61,100,1.68,overcast clouds
101,Mar Del Plata,AR,-38.0023,-57.5575,60.87,76,0,4.61,clear sky
102,Ponta Do Sol,PT,32.6667,-17.1,63.05,78,100,5.75,overcast clouds
103,Acapulco,MX,16.8634,-99.8901,82.22,54,100,4.61,smoke
104,Soure,BR,-0.7167,-48.5233,78.3,88,100,7.94,very heavy rain
